"""Location",River,Code,Longitude,Latitude,Capacity (acre-feet),Drainage area (square miles),Year completed,Type,Owner,Source Page,"""Reservoir",Creek/River,Lat,Long,Area,Volume,Year Built,"""State",Lake/River,Year,Entity,Name of Reservoir,Stream and Station No.,Basin Index and Latitude,Drainage Area (Square Miles),Storage in Acre-Feet,Usable,Use,Storage Records Published,"""Name of reservoir",Location and Basin,stream index and station no,Surface area (acres),Storage in acre-feet,Related River,Authority,Stream Index and Station No,Latitude and Longitude,Drainage Area (square miles),Dead Storage in acre feet,Total Storage in acre feet,Usable Storage in acre feet,Storage Ratio,Year Completed,Operator,Location,Reservoir Name,Stream,Basin Index and Station No,Square Miles,Usable Storage,Water Source,Coordinates,Drainage Basin,Index and ant stream station no,Date completed,Owner or operator,Storage records published,Basin Code,Surface (acres)
,,03-4155 00,,,,,,,,32,,,,,,,,Kentucky,Cumberland River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3NG,,,,,,,,32,,,,,,,,Kentucky,Rough River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,03-3180 05,,,,,,,,32,,,,,,,,Louisiana,Anacoco Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8B0A,,,,,,,,32,,,,,,,,Louisiana,Bayou Anacoco,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Crotched Pond,NA,LDe 44 25,NA,10700,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Dead River,01-0552 00,70 02,NA,13100,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Damariscotta Lake,NA,1cA 44 04,NA,6300,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Damariscotta River,01-0379 00,69 32,NA,6100,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Ellis and McGrath Ponds,NA,1CE 44 31,NA,5550,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Tributary to Great Pond,01-0492 20,69 48,NA,21500,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Embden Pond,NA,icD 44 55,NA,276000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Mill Stream,01-0471 00,69 56,NA,27000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Estes Lake,NA,1DH 43 26,NA,140000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Mousam River,01-0690 00,70 40,NA,105000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,First Roach Pond,NA,icB 45 41,NA,41000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Roach River,01-0400 00,69 26,NA,161000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Flagstaff Lake,NA,1cD 45 13,NA,11800,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Dead River,01-0430 00,70 12,NA,88000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Gardner Lake,NA,1BB 44 45,NA,49000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,East Machias River,01-0221 00,67 20,NA,0S,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Graham Lake,NA,1BC 44 36,NA,o7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Union River,01-0252 00,68 26,NA,06,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Grand Lake (Eastern) and North Lake,NA,IBA 45 50,NA,LP,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,St Croix River,01-0182 00,67 46,NA,1921,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Grand Lake (Matagamon),NA,1BE 46 08,NA,1960,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,East Branch Penobscot River,01-0290 00,68 47,NA,1914,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Grand Lake (Western),NA,IBA 45 10,NA,1928,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Grand Lake Stream,01-0190 00,67 46,NA,or,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Great East Lake,NA,1DI 43 35,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Salmon Falls River,01-0700 00,70 56,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Great Falls Flowage,NA,1BA 45 19,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,St Croix River,01-0199 00,67 28,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,NA,35,,,,,,,,,,,,Great Pond,NA,1CE 44 31,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE--Continued 4,,,,,,,,,"NA""",35,,,,,,,,,,,,Messalonskee Stream,01-0492 30,69 52,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69 43,00,,,,,LP,37,,,,,,,,,,,,,,,,,,,,Moosehead Lake,Kennebec River,01-0405,192000,310,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 S2,00,,,,,Kennebec Log,37,,,,,,,,,,,,,,,,,,,,Mooselockmeguntic Lake (Upper Dam),Tributary to Rapid River,01-0510,30700,817,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 51,00,,,,,Union Water Power co,37,,,,,,,,,,,,,,,,,,,,Mousam Lake,Mousam River,01-0685,223000,1864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69 52,00,,,,,Town of Sanford,37,,,,,,,,,,,,,,,,,,,,Moxie Pond,Moxie Stream,01-0420,544900,30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,68 47,00,,,,,Moxie Associates,37,,,,,,,,,,,,,,,,,,,,North Twin Lake,West Branch Penobscot River,01-0270,9450,105,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 28,00,,,,,Great Northern Paper Co,37,,,,,,,,,,,,,,,,,,,,Panther and Rattlesnake Ponds,Panther Run,01-0605,14700,101,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 58,00,,,,,Brown Co,37,,,,,,,,,,,,,,,,,,,,Parmachenee Lake,Magalloway River,01-0519,344000,90,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 32,00,,,,,Union Water Power Co,37,,,,,,,,,,,,,,,,,,,,Pleasant Lake and Parker Pond,Mile Brook,01-0615,9300,1410,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 46,00,,,,,Great Northern Paper Co,37,,,,,,,,,,,,,,,,,,,,Rangeley Lake,Rangeley Stream,01-0505,10200,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69 10,00,,,,,Bangor Hydro-Electric Co,37,,,,,,,,,,,,,,,,,,,,Ripogenus Lake and others,West Branch Penobscot River,01-0270,6150,45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 06,00,,,,,S P Warren Co,37,,,,,,,,,,,,,,,,,,,,Sabattus Pond,Sabattus River,01-0591,30700,436,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,68 S55,00,,,,,Co,37,,,,,,,,,,,,,,,,,,,,Schoodic Lake,Schoodic Stream,01-0341,977000,135,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 27,00,,,,,Bangor Hydro-Electric Co,37,,,,,,,,,,,,,,,,,,,,Sebago Lake,Presumpscot River,01-0635,27500,327,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69 17,00,,,,,Driving Associates,37,,,,,,,,,,,,,,,,,,,,Sebasticook Lake,East Branch Sebasticook River,01-0489,223000,417,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69 06,00,,,,,Central Maine Power,37,,,,,,,,,,,,,,,,,,,,Sebec Lake,Sebec River,01-0325,20800,57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,67 26,00,,,,,"St Croix Paper Co""",37,,,,,,,,,,,,,,,,,,,,Spednik Lake,St Croix River,01-0184,74100,187,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Lake (No 9-18),,50B 05-0390 00,46,95,,,,,,44,,,,,123,,,,,1938,,,,,,,,,,,,,,,Pelican River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Mille Lacs Lake,,SAH 05-2840 00,46,935,,,,,,44,,,,,400,,,,,1939,,,,,,,,,,,,,,,Rum River,State of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
